#,Name,Contry,Vehicle,ET,MPH,Track
162,Reandly Winklaar,NLD,Honda Civic,9.9640,149.63,Drachten 
163,Matt Davison,GBR,Honda Civic,9.9680,145.73,Santa Pod
164,Luis Silva,PRT,Seat Ibiza,9.9680,134.43,Santa Pod
165,José Realista,PRT,Seat Ibiza,9.9810,141.14,Santa Pod 
166,George Halimourdas,GRC,Peugeot 106,9.9870,150.02,Thiva  
167,Dean Ciantar,MLT,Toyota Starlet,9.9870,145.70,Hal-Far 
168,Catriel Dimech,MLT,Honda Civic,9.9880,142.35,Hal-Far
169,Giorgos Fotiadis,GRC,Honda Civic,9.9920,151.31,Thiva 
170,Giannis Kafetzis,GRC,Honda Civic,9.9920,145.02,Polykastro  
171,Štefan Holakovský,SVK,Honda Civic,9.9940,151.60,Kiskunlacháza 
172,Vasilis Chamouridis,GRC,Honda CRX,9.9970,147.74,Thiva 
173,Andy Nichols,ENG,MG ZR,9.9990,153.11,Santa Pod
